"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 21:31:35 GMT 2023","Tue Jun 06 21:31:35 GMT 2023","195","","","","","","ProductCreation",""
"passed","Tue Jun 06 21:31:34 GMT 2023","Tue Jun 06 21:31:34 GMT 2023","685","","","","","","Authentication",""
"passed","Tue Jun 06 21:31:35 GMT 2023","Tue Jun 06 21:31:35 GMT 2023","133","","","","","","ProductUpdate",""
"passed","Tue Jun 06 21:31:35 GMT 2023","Tue Jun 06 21:31:35 GMT 2023","97","","","","","","GetAllProducts",""
"passed","Tue Jun 06 21:31:34 GMT 2023","Tue Jun 06 21:31:35 GMT 2023","134","","","","","","GetProductById",""
